시군구,날짜,전문의수,고령인구비율,세이상인구,전체인구,공급_raw,수요_raw,접근성_raw,공급지수,수요지수,접근성지수,AMAI_raw,AMAI
홍천군,2014-04-01,23,20.17,14248.670000000002,70599.0,0.325783651326506,1.614185745055503,0.45,0.3472105566135928,0.31084452139921276,0.45,0.3675412908542619,0.31882721253245705
홍천군,2014-07-01,22,20.27,14326.329999999998,70586.67,0.31167357802825946,1.5356340388641057,0.45,0.33046879923167655,0.2947184253943011,0.45,0.3564749188392215,0.3059615265738904
홍천군,2014-10-01,22,20.4,14397.329999999998,70522.33,0.3119579287865276,1.5280611057744737,0.45,0.33080618453830574,0.29316375711319953,0.45,0.3560183614789104,0.30543073621081107
홍천군,2015-01-01,22,20.53,14445.0,70330.67,0.31280805372677384,1.523018345448252,0.45,0.3318148671434972,0.29212851496387854,0.45,0.3559595518277837,0.3053623645257005
홍천군,2015-04-01,22,20.73,14582.0,70355.33,0.3126984124728006,1.5087093677136194,0.45,0.3316847765880288,0.2891909855343001,0.45,0.35485682583309586,0.304080343071269
홍천군,2015-07-01,22,20.8,14666.0,70411.67,0.31244820638397014,1.5000681849174962,0.45,0.3313879043077694,0.28741701333022424,0.45,0.3541226118957116,0.3032267511323797
홍천군,2015-10-01,23,20.93,14716.329999999998,70378.33,0.3268051401617515,1.5628896606694742,0.45,0.348422564367666,0.3003138070252996,0.45,0.36411306435949503,0.3148415806183516
홍천군,2016-01-01,22,21.07,14786.0,70133.67,0.31368670711229,1.4878939537400244,0.45,0.3328573990632243,0.2849177318979974,0.45,0.35367861376148707,0.30271056203686053
홍천군,2016-04-01,20,21.2,14827.0,70028.67,0.28559731321471615,1.3488905375328792,0.45,0.2995290238168179,0.25638133792960516,0.45,0.33293780648059534,0.2785974459550558
홍천군,2016-07-01,22,21.2,14861.329999999998,70021.67,0.31418845051824673,1.48035202771219,0.45,0.33345272314077873,0.28336942914196994,0.45,0.35330503019618725,0.30227623642193485
홍천군,2016-10-01,21,21.3,14900.670000000002,70016.0,0.29993144424131624,1.409332600480381,0.45,0.31653662816128003,0.26878965541988864,0.45,0.34274319257763286,0.2899971185899107
홍천군,2017-01-01,21,21.43,15047.0,70086.67,0.29962901647346063,1.3956270352894264,0.45,0.31617779428366843,0.26597600221250467,0.45,0.3416137117077541,0.2886839921065141
홍천군,2017-04-01,22,21.93,15437.329999999998,70264.67,0.3131018760922097,1.425116908170001,0.45,0.33216349061635464,0.27203005939728503,0.45,0.3488021584300288,0.2970412295040078
홍천군,2017-07-01,22,22.3,15702.0,70334.67,0.31279026403337074,1.4010954018596358,0.45,0.3317937594763322,0.267098618239283,0.45,0.3469036008723661,0.29483397989429344
홍천군,2017-10-01,22,22.53,15848.329999999998,70313.0,0.3128866639170566,1.3881588785695402,0.45,0.33190813900010935,0.26444284376078153,0.45,0.34597920097144613,0.2937592790972118
홍천군,2018-01-01,21,22.83,16017.329999999998,70139.33,0.29940405760933275,1.3110799365437313,0.45,0.3159108781136009,0.24861909556571898,0.45,0.33525498744615145,0.2812913841826425
